읍면동코드,시도,객체시군구코드,시군구,읍면동명,중심점_longitude,중심점_latitude,순위,시설명,시설_시도,시설_시군구,시설_longitude,시설_latitude,직선거리_km
11140126,서울특별시,11140,중구,명동1가,126.98466054,37.56430113,2,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,17.22
11140126,서울특별시,11140,중구,명동1가,126.98466054,37.56430113,3,성남시장례문화사업소,경기도,성남시,127.17523286,37.42243387,23.05
11110149,서울특별시,11110,종로구,원서동,126.98826006,37.58392344,1,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,15.55
11110149,서울특별시,11110,종로구,원서동,126.98826006,37.58392344,2,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,16.52
11110149,서울특별시,11110,종로구,원서동,126.98826006,37.58392344,3,성남시장례문화사업소,경기도,성남시,127.17523286,37.42243387,24.38
11110152,서울특별시,11110,종로구,봉익동,126.99302259,37.57220203,1,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,15.15
11110152,서울특별시,11110,종로구,봉익동,126.99302259,37.57220203,2,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,16.86
11110152,서울특별시,11110,종로구,봉익동,126.99302259,37.57220203,3,성남시장례문화사업소,경기도,성남시,127.17523286,37.42243387,23.15
11110121,서울특별시,11110,종로구,신문로2가,126.96923015,37.57087761,1,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,15.82
11110121,서울특별시,11110,종로구,신문로2가,126.96923015,37.57087761,2,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,15.92
11110121,서울특별시,11110,종로구,신문로2가,126.96923015,37.57087761,3,인천가족공원 화장시설,인천광역시,인천광역시,126.72337704,37.48921859,23.50
11110157,서울특별시,11110,종로구,인의동,126.99769064,37.57234303,1,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,15.03
11110157,서울특별시,11110,종로구,인의동,126.99769064,37.57234303,2,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,17.08
11110157,서울특별시,11110,종로구,인의동,126.99769064,37.57234303,3,성남시장례문화사업소,경기도,성남시,127.17523286,37.42243387,22.87
11110116,서울특별시,11110,종로구,도렴동,126.97471562,37.57311048,1,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,15.84
11110116,서울특별시,11110,종로구,도렴동,126.97471562,37.57311048,2,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,15.93
11110116,서울특별시,11110,종로구,도렴동,126.97471562,37.57311048,3,인천가족공원 화장시설,인천광역시,인천광역시,126.72337704,37.48921859,24.05
11110180,서울특별시,11110,종로구,교북동,126.96147289,37.57154348,1,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,15.55
11110180,서울특별시,11110,종로구,교북동,126.96147289,37.57154348,2,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,16.20
11110180,서울특별시,11110,종로구,교북동,126.96147289,37.57154348,3,인천가족공원 화장시설,인천광역시,인천광역시,126.72337704,37.48921859,22.90
11110163,서울특별시,11110,종로구,종로5가,127.00352169,37.57061228,1,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,14.70
11110163,서울특별시,11110,종로구,종로5가,127.00352169,37.57061228,2,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,17.54
11110163,서울특별시,11110,종로구,종로5가,127.00352169,37.57061228,3,성남시장례문화사업소,경기도,성남시,127.17523286,37.42243387,22.38
11110117,서울특별시,11110,종로구,당주동,126.97401918,37.57159004,1,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,15.71
11110117,서울특별시,11110,종로구,당주동,126.97401918,37.57159004,2,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,16.05
11110117,서울특별시,11110,종로구,당주동,126.97401918,37.57159004,3,인천가족공원 화장시설,인천광역시,인천광역시,126.72337704,37.48921859,23.92
11110122,서울특별시,11110,종로구,청진동,126.98016631,37.57144742,1,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,15.47
11110122,서울특별시,11110,종로구,청진동,126.98016631,37.57144742,2,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,16.33
11110122,서울특별시,11110,종로구,청진동,126.98016631,37.57144742,3,성남시장례문화사업소,경기도,성남시,127.17523286,37.42243387,23.89
11110179,서울특별시,11110,종로구,홍파동,126.96397394,37.57114743,1,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,15.68
11110179,서울특별시,11110,종로구,홍파동,126.96397394,37.57114743,2,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,16.06
